"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"261",2020-03-02,"New Hampshire",33,1,0,1359711,7.35450400857241e-07,NA,NA
"262",2020-03-02,"New York",36,1,0,19453561,5.14044703692039e-08,NA,NA
"263",2020-03-02,"Oregon",41,2,0,4217737,4.74187935378617e-07,NA,NA
"264",2020-03-02,"Rhode Island",44,2,0,1059361,1.88793055436249e-06,NA,NA
"265",2020-03-02,"Texas",48,11,0,28995881,3.79364227629435e-07,10.5714285714286,3.6458380317634e-07
"266",2020-03-02,"Utah",49,1,0,3205958,3.11919245355055e-07,1,3.11919245355055e-07
"267",2020-03-02,"Washington",53,23,6,7614893,3.02039700360859e-06,10.2857142857143,1.35073654819763e-06
"268",2020-03-02,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"269",2020-03-03,"Arizona",4,2,0,7278717,2.74773699815503e-07,1.14285714285714,1.57013542751716e-07
"270",2020-03-03,"California",6,45,0,39512223,1.13888808534007e-06,31.8571428571429,8.06260454066147e-07
"271",2020-03-03,"Florida",12,3,0,21477737,1.39679520239958e-07,NA,NA
"272",2020-03-03,"Georgia",13,2,0,10617423,1.88369626038258e-07,NA,NA
"273",2020-03-03,"Illinois",17,4,0,12671821,3.15661024567819e-07,2.85714285714286,2.25472160405585e-07
"274",2020-03-03,"Massachusetts",25,2,0,6892503,2.90170348855851e-07,1.28571428571429,1.86538081407333e-07
"275",2020-03-03,"Nebraska",31,13,0,1934408,6.72040231429978e-06,13,6.72040231429978e-06
